Title,Image,Link,Category
Trichoderma fungus to promote yield increase in grass species,images/Trichoderma.jpg,https://repositorio.usp.br/item/003030683,Work
Analyzing the vegetative development of soybeans irrigated with slaughterhouse-treated wastewater using images and other sensor datas,images/Slaughterhouse.jpg,https://github.com/GustavoSantiago113/Soy_RGB_Index_Extration,Work
Guyri - A desktop app to size several agricultural engineering projects,images/Guyri.png,https://github.com/GustavoSantiago113/Guyri,Personal
CorN - A Shiny App dashboard to analyze economical and agronomical optimum amount of nitrogen fertilization for corn in Kansas,images/CorN.png,https://github.com/GustavoSantiago113/CorN/tree/Version1,Work
CosNutri - A Shiny App dashboard to display the results obtained from simulations of costs and nutritional information of pearl-millet cultivation in Senegal,images/CosNutri.png,https://github.com/GustavoSantiago113/CosNutSenegal-App,Work
An Arduino-based datalogger to store soil temperature data from 24 sensors,images/Datalogger.jpg,https://github.com/GustavoSantiago113/Soil_Temperature_Datalogger,Work
"A Shiny App dashboard to compare, analyze and integrate Sustainable Intensification data from Senegal",images/SIAF.png,https://github.com/GustavoSantiago113/Senegal-visualizing-data-app,Work
A Python algorithm to estimate the number of grains of a sorghum panicle from images taken at field-scale,images/Sorghum.png,https://newprairiepress.org/kaesrr/vol9/iss4/6/,Work
A 3D printed microscope for educational purposes,images/Microscope.jpeg,https://www.thingiverse.com/thing:6340699,Personal
DONMaiz - A Shinny App dashboard for optimal nitrogen doses for corn in Argentina,images/DONMaiz.png,https://ciampittilab.shinyapps.io/DONMaiz/#section-principal,Collaboration
A 3D printed microscope to be attached to a smartphone,images/MicroscopeSmartphone.jpg,https://www.thingiverse.com/thing:6463963,Personal
An Arduino-based weather station,images/WS.jpg,https://github.com/GustavoSantiago113/Estacao-Meteorologica,Work
